# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# DR       = Precipitation duration (in 0.1 hour); 
# 
# STN,YYYYMMDD,   DR
# 
  260,20161227,   18
  260,20161228,    0
  260,20161229,    0
  260,20161230,    0
  260,20161231,    5
  260,20170101,   50
  260,20170102,   10
  260,20170103,    6
  260,20170104,   11
  260,20170105,    0
  260,20170106,    0
  260,20170107,   94
  260,20170108,    0
  260,20170109,   41
  260,20170110,   48
  260,20170111,   16
  260,20170112,   80
  260,20170113,   54
  260,20170114,   36
  260,20170115,    0
  260,20170116,    0
  260,20170117,    0
  260,20170118,    0
  260,20170119,    0
  260,20170120,    0
  260,20170121,    0
  260,20170122,    0
  260,20170123,    0
  260,20170124,    4
  260,20170125,    0
  260,20170126,    0
  260,20170127,    0
  260,20170128,    0
  260,20170129,   42
  260,20170130,   80
  260,20170131,    0
  260,20170201,   30
  260,20170202,   18
  260,20170203,    3
  260,20170204,   89
  260,20170205,    0
  260,20170206,    0
  260,20170207,  104
  260,20170208,    7
  260,20170209,    0
  260,20170210,   14
  260,20170211,   71
  260,20170212,    7
  260,20170213,    0
  260,20170214,    0
  260,20170215,    0
  260,20170216,    2
  260,20170217,   12
  260,20170218,    0
  260,20170219,    8
  260,20170220,   57
  260,20170221,   13
  260,20170222,  128
  260,20170223,  153
  260,20170224,    5
  260,20170225,   21
  260,20170226,   28
  260,20170227,   41
  260,20170228,   35
  260,20170301,   58
  260,20170302,   50
  260,20170303,   15
  260,20170304,   37
  260,20170305,   40
  260,20170306,   22
  260,20170307,    1
  260,20170308,   86
  260,20170309,    4
  260,20170310,    0
  260,20170311,    0
  260,20170312,    0
  260,20170313,    0
  260,20170314,    0
  260,20170315,    0
  260,20170316,    0
  260,20170317,   36
  260,20170318,   80
  260,20170319,   10
  260,20170320,   98
  260,20170321,    0
  260,20170322,    0
  260,20170323,    0
  260,20170324,    0
  260,20170325,    0
  260,20170326,    0
  260,20170327,    0
  260,20170328,    1
  260,20170329,    0
  260,20170330,    0
  260,20170331,    5
  260,20170401,    0
  260,20170402,    0
  260,20170403,    0
  260,20170404,    0
  260,20170405,    0
  260,20170406,    0
  260,20170407,    0
  260,20170408,    0
  260,20170409,    0
  260,20170410,    0
  260,20170411,    0
  260,20170412,   21
  260,20170413,    0
  260,20170414,    0
  260,20170415,   40
  260,20170416,   31
  260,20170417,   54
  260,20170418,    0
  260,20170419,    0
  260,20170420,    0
  260,20170421,   16
  260,20170422,   20
  260,20170423,    1
  260,20170424,   30
  260,20170425,   11
  260,20170426,    4
  260,20170427,    2
  260,20170428,   20
  260,20170429,    0
  260,20170430,    0
  260,20170501,   27
  260,20170502,   67
  260,20170503,   56
  260,20170504,    0
  260,20170505,    0
  260,20170506,    0
  260,20170507,    0
  260,20170508,    0
  260,20170509,    0
  260,20170510,    0
  260,20170511,    8
  260,20170512,   34
  260,20170513,   22
  260,20170514,    6
  260,20170515,    0
  260,20170516,    0
  260,20170517,    0
  260,20170518,   14
  260,20170519,    2
  260,20170520,    5
  260,20170521,    0
