# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20140101,   71
  260,20140102,   87
  260,20140103,   88
  260,20140104,   73
  260,20140105,   61
  260,20140106,  113
  260,20140107,  108
  260,20140108,   86
  260,20140109,   94
  260,20140110,   65
  260,20140111,   51
  260,20140112,   20
  260,20140113,   61
  260,20140114,   48
  260,20140115,   45
  260,20140116,   75
  260,20140117,   74
  260,20140118,   70
  260,20140119,   60
  260,20140120,   37
  260,20140121,   39
  260,20140122,   33
  260,20140123,   30
  260,20140124,   45
  260,20140125,   39
  260,20140126,   54
  260,20140127,   41
  260,20140128,   46
  260,20140129,    1
  260,20140130,    6
  260,20140131,   31
  260,20140201,   64
  260,20140202,   51
  260,20140203,   39
  260,20140204,   58
  260,20140205,   74
  260,20140206,   78
  260,20140207,   76
  260,20140208,   69
  260,20140209,   59
  260,20140210,   51
  260,20140211,   60
  260,20140212,   58
  260,20140213,   49
  260,20140214,   51
  260,20140215,  100
  260,20140216,   57
  260,20140217,   60
  260,20140218,   60
  260,20140219,   78
  260,20140220,   82
  260,20140221,   70
  260,20140222,   66
  260,20140223,   75
  260,20140224,   78
  260,20140225,   87
  260,20140226,   67
  260,20140227,   49
  260,20140228,   54
  260,20140301,   59
  260,20140302,   62
  260,20140303,   49
  260,20140304,   52
  260,20140305,   56
  260,20140306,   65
  260,20140307,   78
  260,20140308,   87
  260,20140309,  113
  260,20140310,   98
  260,20140311,   93
  260,20140312,   83
  260,20140313,   79
  260,20140314,   67
  260,20140315,   99
  260,20140316,  105
  260,20140317,  102
  260,20140318,   93
  260,20140319,  113
  260,20140320,  129
  260,20140321,   78
  260,20140322,   66
  260,20140323,   52
  260,20140324,   56
  260,20140325,   48
  260,20140326,   45
  260,20140327,   86
  260,20140328,  110
  260,20140329,  115
  260,20140330,  123
  260,20140331,  147
  260,20140401,  127
  260,20140402,  137
  260,20140403,  152
  260,20140404,  130
  260,20140405,  119
  260,20140406,  131
  260,20140407,  156
  260,20140408,   91
  260,20140409,  107
  260,20140410,  121
  260,20140411,  113
  260,20140412,   99
  260,20140413,  105
  260,20140414,   89
  260,20140415,   72
  260,20140416,   74
  260,20140417,  109
  260,20140418,   86
  260,20140419,  112
  260,20140420,  155
  260,20140421,  124
  260,20140422,  125
  260,20140423,  134
  260,20140424,  136
  260,20140425,  171
  260,20140426,  142
  260,20140427,  116
  260,20140428,  132
  260,20140429,  138
  260,20140430,  131
  260,20140501,  130
  260,20140502,  100
  260,20140503,   84
  260,20140504,   79
  260,20140505,  122
  260,20140506,  146
  260,20140507,  127
  260,20140508,  122
  260,20140509,  125
  260,20140510,  116
  260,20140511,  102
  260,20140512,  108
  260,20140513,  103
  260,20140514,   96
  260,20140515,  101
  260,20140516,  121
  260,20140517,  142
  260,20140518,  159
  260,20140519,  184
  260,20140520,  199
  260,20140521,  181
  260,20140522,  182
  260,20140523,  164
  260,20140524,  150
  260,20140525,  160
  260,20140526,  158
  260,20140527,  156
  260,20140528,  131
  260,20140529,  104
  260,20140530,  119
  260,20140531,  133
  260,20140601,  135
  260,20140602,  140
  260,20140603,  151
  260,20140604,  146
  260,20140605,  130
  260,20140606,  163
  260,20140607,  210
  260,20140608,  200
  260,20140609,  216
  260,20140610,  204
  260,20140611,  175
  260,20140612,  171
  260,20140613,  178
  260,20140614,  160
  260,20140615,  156
  260,20140616,  148
  260,20140617,  153
  260,20140618,  149
  260,20140619,  142
  260,20140620,  140
  260,20140621,  160
  260,20140622,  153
  260,20140623,  154
  260,20140624,  160
  260,20140625,  147
  260,20140626,  167
  260,20140627,  175
  260,20140628,  171
  260,20140629,  160
  260,20140630,  141
  260,20140701,  142
  260,20140702,  150
  260,20140703,  184
  260,20140704,  216
  260,20140705,  199
  260,20140706,  190
  260,20140707,  181
  260,20140708,  152
  260,20140709,  156
  260,20140710,  216
  260,20140711,  200
  260,20140712,  190
  260,20140713,  187
  260,20140714,  184
  260,20140715,  173
  260,20140716,  195
  260,20140717,  219
  260,20140718,  251
  260,20140719,  264
  260,20140720,  221
  260,20140721,  195
  260,20140722,  226
  260,20140723,  232
  260,20140724,  215
  260,20140725,  185
  260,20140726,  209
  260,20140727,  212
  260,20140728,  195
  260,20140729,  212
  260,20140730,  184
  260,20140731,  188
  260,20140801,  203
  260,20140802,  205
  260,20140803,  196
  260,20140804,  184
  260,20140805,  177
  260,20140806,  176
  260,20140807,  182
  260,20140808,  185
  260,20140809,  191
  260,20140810,  182
  260,20140811,  171
  260,20140812,  163
  260,20140813,  167
  260,20140814,  162
  260,20140815,  155
  260,20140816,  161
  260,20140817,  149
  260,20140818,  138
  260,20140819,  124
  260,20140820,  126
  260,20140821,  138
  260,20140822,  136
  260,20140823,  127
  260,20140824,  125
  260,20140825,  127
  260,20140826,  137
  260,20140827,  142
  260,20140828,  172
  260,20140829,  173
  260,20140830,  163
  260,20140831,  151
  260,20140901,  153
  260,20140902,  167
  260,20140903,  163
  260,20140904,  177
  260,20140905,  176
  260,20140906,  166
  260,20140907,  170
  260,20140908,  141
  260,20140909,  145
  260,20140910,  139
  260,20140911,  159
  260,20140912,  156
  260,20140913,  170
  260,20140914,  157
  260,20140915,  168
  260,20140916,  175
  260,20140917,  180
  260,20140918,  193
  260,20140919,  178
  260,20140920,  178
  260,20140921,  158
  260,20140922,  134
  260,20140923,  126
  260,20140924,  130
  260,20140925,  142
  260,20140926,  153
  260,20140927,  133
  260,20140928,  147
  260,20140929,  160
  260,20140930,  162
  260,20141001,  159
  260,20141002,  157
  260,20141003,  150
  260,20141004,  156
  260,20141005,  132
  260,20141006,  138
  260,20141007,  122
  260,20141008,  132
  260,20141009,  150
  260,20141010,  134
  260,20141011,  113
  260,20141012,  119
  260,20141013,  151
  260,20141014,  124
  260,20141015,  137
  260,20141016,  142
  260,20141017,  146
  260,20141018,  173
  260,20141019,  171
  260,20141020,  151
  260,20141021,  112
  260,20141022,  100
  260,20141023,  124
  260,20141024,  116
  260,20141025,  126
  260,20141026,  127
  260,20141027,  127
  260,20141028,   99
  260,20141029,  110
  260,20141030,  130
  260,20141031,  135
  260,20141101,  141
  260,20141102,  148
  260,20141103,  125
  260,20141104,   89
  260,20141105,   60
  260,20141106,   61
  260,20141107,   77
  260,20141108,   98
  260,20141109,   95
  260,20141110,   96
  260,20141111,   95
  260,20141112,   93
  260,20141113,   79
  260,20141114,  103
  260,20141115,   97
  260,20141116,   84
  260,20141117,   95
  260,20141118,   79
  260,20141119,   80
  260,20141120,   71
  260,20141121,   52
  260,20141122,   83
  260,20141123,  106
  260,20141124,   65
  260,20141125,   41
  260,20141126,   49
  260,20141127,   74
  260,20141128,   63
  260,20141129,   28
  260,20141130,   25
  260,20141201,   15
  260,20141202,    6
  260,20141203,  -12
  260,20141204,   -3
  260,20141205,   35
  260,20141206,   32
  260,20141207,   34
  260,20141208,   32
  260,20141209,   22
  260,20141210,   65
  260,20141211,   65
  260,20141212,   75
  260,20141213,   47
  260,20141214,   25
  260,20141215,   56
  260,20141216,   52
  260,20141217,   80
  260,20141218,  115
  260,20141219,   94
  260,20141220,   77
  260,20141221,   78
  260,20141222,  114
  260,20141223,  111
  260,20141224,   81
  260,20141225,   52
  260,20141226,   19
  260,20141227,    7
  260,20141228,   -9
  260,20141229,   35
  260,20141230,   50
  260,20141231,   52
  260,20150101,   30
  260,20150102,   73
  260,20150103,   38
  260,20150104,   39
  260,20150105,   24
  260,20150106,   28
  260,20150107,   45
  260,20150108,   65
  260,20150109,   99
  260,20150110,   95
  260,20150111,   64
  260,20150112,   84
  260,20150113,   86
  260,20150114,   44
  260,20150115,   79
  260,20150116,   55
  260,20150117,   30
  260,20150118,   22
  260,20150119,   10
  260,20150120,    8
  260,20150121,   -5
  260,20150122,  -12
  260,20150123,  -28
  260,20150124,   22
  260,20150125,   37
  260,20150126,   59
  260,20150127,   51
  260,20150128,   53
  260,20150129,   24
  260,20150130,   17
  260,20150131,   10
  260,20150201,   26
  260,20150202,   20
  260,20150203,   17
  260,20150204,    2
  260,20150205,   -7
  260,20150206,   -2
  260,20150207,   15
  260,20150208,   50
  260,20150209,   57
  260,20150210,   57
  260,20150211,   42
  260,20150212,   26
  260,20150213,   46
  260,20150214,   66
  260,20150215,   26
  260,20150216,    9
  260,20150217,   33
  260,20150218,   18
  260,20150219,   35
  260,20150220,   53
  260,20150221,   32
  260,20150222,   32
  260,20150223,   59
  260,20150224,   54
  260,20150225,   48
  260,20150226,   63
  260,20150227,   49
  260,20150228,   51
  260,20150301,   83
  260,20150302,   53
  260,20150303,   44
  260,20150304,   51
  260,20150305,   57
  260,20150306,   66
  260,20150307,   84
  260,20150308,   93
  260,20150309,   88
  260,20150310,   76
  260,20150311,   27
  260,20150312,   54
  260,20150313,   46
  260,20150314,   34
  260,20150315,   56
  260,20150316,   63
  260,20150317,   76
  260,20150318,   56
  260,20150319,   68
  260,20150320,   49
