# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,20180101,   68
  260,20180102,   65
  260,20180103,   88
  260,20180104,   82
  260,20180105,   64
  260,20180106,   45
  260,20180107,   10
  260,20180108,   11
  260,20180109,   30
  260,20180110,   69
  260,20180111,   57
  260,20180112,   50
  260,20180113,   42
  260,20180114,   29
  260,20180115,   52
  260,20180116,   52
  260,20180117,   46
  260,20180118,   47
  260,20180119,   37
  260,20180120,   22
  260,20180121,   30
  260,20180122,   63
  260,20180123,   81
  260,20180124,  117
  260,20180125,   77
  260,20180126,   54
  260,20180127,   58
  260,20180128,   97
  260,20180129,   88
  260,20180130,   47
  260,20180131,   65
  260,20180201,   34
  260,20180202,   44
  260,20180203,   20
  260,20180204,   17
  260,20180205,   10
  260,20180206,  -21
  260,20180207,  -22
  260,20180208,   10
  260,20180209,    6
  260,20180210,   29
  260,20180211,   45
  260,20180212,   30
  260,20180213,   20
  260,20180214,   19
  260,20180215,   43
  260,20180216,   32
  260,20180217,    9
  260,20180218,    7
  260,20180219,   12
  260,20180220,    8
  260,20180221,    3
  260,20180222,    2
  260,20180223,   -5
  260,20180224,   -4
  260,20180225,  -22
  260,20180226,  -33
  260,20180227,  -36
  260,20180228,  -66
  260,20180301,  -47
